id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-05-10 19:46:09,6.48,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-05-10 19:46:16,159.88,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-05-10 19:48:56,75.93,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-05-10 19:50:12,12.24,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-05-10 19:50:24,65.04,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-05-10 19:51:29,25.71,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-05-10 19:51:55,65.97,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-05-10 19:53:01,30.42,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-05-10 19:53:31,3.17,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-05-10 19:53:34,23.56,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-05-10 19:53:58,110.59,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-05-10 19:55:49,76.3,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-05-10 19:57:05,9.62,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-05-10 19:57:15,109.69,FAILED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-05-10 19:59:04,17.71,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-05-10 19:59:22,111.3,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-05-10 20:01:13,85.39,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-05-10 20:02:39,71.74,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-05-10 20:03:51,177.26,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-05-10 20:06:48,0.64,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-05-10 20:06:49,98.9,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-05-10 20:08:28,89.65,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-05-10 20:09:57,180.62,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-05-10 20:12:58,179.08,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-05-10 20:15:57,209.02,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-05-10 20:19:26,183.32,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-05-10 20:22:30,177.25,PASSED 



