adduser	3.118
apt-utils	2.2.4
apt	2.2.4
asciijump	1.0.2~beta-10
base-files	11.1+rpi1+deb11u3
base-passwd	3.5.51
bash	5.1-2
bind9-host	1:9.16.27-1~deb11u1
bind9-libs	1:9.16.27-1~deb11u1
bsdutils	1:2.36.1-8+deb11u1
c8y_configuration_plugin	0.7.0
ca-certificates	20210119
collectd-core	5.12.0-7+rpi1
collectd	5.12.0-7+rpi1
coreutils	8.32-4
curl	7.74.0-1.3+deb11u1
dash	0.5.11+git20200708+dd9ef66-5
dbus	1.12.20-2
debconf	1.5.77
debianutils	4.11.2
dialog	1.3-20201126-1
diffutils	1:3.7-5
dirmngr	2.2.27-2+deb11u1
dmsetup	2:1.02.175-2.1
docker.io	20.10.5+dfsg1-1+deb11u1
dpkg	1.20.10+rpi1
e2fsprogs	1.46.2-2
findutils	4.8.0-1
firmware-atheros	1:20210315-3+rpt5
firmware-brcm80211	1:20210315-3+rpt5
firmware-libertas	1:20210315-3+rpt5
firmware-misc-nonfree	1:20210315-3+rpt5
firmware-realtek	1:20210315-3+rpt5
gcc-10-base	10.2.1-6+rpi1
gcc-7-base	7.5.0-6+rpi1+b2
gcc-8-base	8.4.0-7+rpi1
gcc-9-base	9.3.0-22+rpi1
gcc	4:10.2.1-1+rpi1
git	1:2.30.2-1
gnupg-l10n	2.2.27-2+deb11u1
gnupg-utils	2.2.27-2+deb11u1
gnupg2	2.2.27-2+deb11u1
gnupg	2.2.27-2+deb11u1
gpg-agent	2.2.27-2+deb11u1
gpg-wks-client	2.2.27-2+deb11u1
gpg-wks-server	2.2.27-2+deb11u1
gpg	2.2.27-2+deb11u1
gpgconf	2.2.27-2+deb11u1
gpgsm	2.2.27-2+deb11u1
gpgv	2.2.27-2+deb11u1
grep	3.6-1
gzip	1.10-4+deb11u1
hostname	3.23
ifupdown	0.8.36
init-system-helpers	1.60
init	1.60
iproute2	5.10.0-4
iptables	1.8.7-1
iputils-ping	3:20210202-1
isc-dhcp-client	4.4.1-2.3
kmod	28-1
less	551-2
libacl1	2.2.53-10
libapparmor1	2.13.6-10
libapt-pkg6.0	2.2.4
libargon2-1	0~20171227-0.2
libassuan0	2.5.3-7.1
libatomic1	10.2.1-6+rpi1
libattr1	1:2.4.48-6
libaudit-common	1:3.0-2
libaudit1	1:3.0-2
libblkid1	2.36.1-8+deb11u1
libbpf0	1:0.3-2+rpi1
libbsd0	0.11.3-1
libbz2-1.0	1.0.8-4
libc-bin	2.31-13+rpt2+rpi1+deb11u2
libc6	2.31-13+rpt2+rpi1+deb11u2
libcap-ng0	0.7.9-2.2+b1
libcap2-bin	1:2.44-1
libcap2	1:2.44-1
libcom-err2	1.46.2-2
libcrypt1	1:4.4.18-4
libcryptsetup12	2:2.3.7-1+deb11u1
libdb5.3	5.3.28+dfsg1-0.8
libdbus-1-3	1.12.20-2
libdebconfclient0	0.260
libdevmapper1.02.1	2:1.02.175-2.1
libdns-export1110	1:9.11.19+dfsg-2.1
libelf1	0.183-1
libexpat1	2.2.10-2+deb11u3
libext2fs2	1.46.2-2
libffi7	3.3-6
libfstrm0	0.6.0-1+b1
libgcc-s1	10.2.1-6+rpi1
