id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-05-23 09:31:55,6.26,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-05-23 09:32:02,155.26,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-05-23 09:34:37,74.53,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-05-23 09:35:51,12.48,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-05-23 09:36:04,64.03,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-05-23 09:37:08,25.77,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-05-23 09:37:34,65.33,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-05-23 09:38:39,29.92,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-05-23 09:39:09,3.23,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-05-23 09:39:12,21.4,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-05-23 09:39:34,109.34,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-05-23 09:41:23,75.09,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-05-23 09:42:38,9.53,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-05-23 09:42:48,107.64,FAILED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-05-23 09:44:36,17.32,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-05-23 09:44:53,108.93,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-05-23 09:46:42,83.48,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-05-23 09:48:05,70.75,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-05-23 09:49:16,174.06,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-05-23 09:52:10,0.53,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-05-23 09:52:11,97.3,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-05-23 09:53:48,88.39,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-05-23 09:55:17,176.84,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-05-23 09:58:13,177.61,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-05-23 10:01:11,204.34,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-05-23 10:04:35,188.68,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-05-23 10:07:44,176.4,PASSED 



