id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-04-27 14:39:05,6.53,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-04-27 14:39:12,152.99,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-04-27 14:41:45,65.17,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-04-27 14:42:50,12.01,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-04-27 14:43:02,57.5,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-04-27 14:44:00,22.49,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-04-27 14:44:22,57.6,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-04-27 14:45:20,26.49,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-04-27 14:45:46,2.97,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-04-27 14:45:49,18.72,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-04-27 14:46:08,97.93,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-04-27 14:47:46,66.91,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-04-27 14:48:53,9.1,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-04-27 14:49:02,96.22,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-04-27 14:50:38,16.37,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-04-27 14:50:55,97.56,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-04-27 14:52:32,73.44,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-04-27 14:53:46,61.79,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-04-27 14:54:48,130.72,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-04-27 14:56:58,0.53,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-04-27 14:56:59,85.75,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-04-27 14:58:25,95.88,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-04-27 15:00:01,160.12,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-04-27 15:02:41,159.4,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-04-27 15:05:20,184.69,FAILED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-04-27 15:08:25,181.59,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-04-27 15:11:27,155.62,PASSED 



