id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-05-10 19:44:35,6.44,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-05-10 19:44:42,154.14,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-05-10 19:47:16,66.57,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-05-10 19:48:23,11.48,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-05-10 19:48:34,57.16,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-05-10 19:49:31,22.56,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-05-10 19:49:54,57.65,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-05-10 19:50:51,26.54,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-05-10 19:51:18,3.02,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-05-10 19:51:21,20.31,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-05-10 19:51:41,97.58,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-05-10 19:53:19,67.21,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-05-10 19:54:26,9.05,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-05-10 19:54:35,95.1,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-05-10 19:56:11,16.08,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-05-10 19:56:27,98.34,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-05-10 19:58:05,74.22,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-05-10 19:59:19,62.96,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-05-10 20:00:22,170.56,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-05-10 20:03:13,0.53,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-05-10 20:03:13,86.23,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-05-10 20:04:40,96.27,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-05-10 20:06:16,160.65,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-05-10 20:08:57,158.61,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-05-10 20:11:35,185.46,FAILED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-05-10 20:14:41,177.86,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-05-10 20:17:39,156.88,PASSED 



