id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-05-16 07:24:10,1.13,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-05-16 07:24:12,22.11,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-05-16 07:24:34,13.27,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-05-16 07:24:47,1.61,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-05-16 07:24:49,9.21,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-05-16 07:24:58,6.53,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-05-16 07:25:04,8.41,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-05-16 07:25:13,7.42,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-05-16 07:25:20,0.61,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-05-16 07:25:21,1.71,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-05-16 07:25:23,15.87,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-05-16 07:25:38,12.55,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-05-16 07:25:51,1.66,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-05-16 07:25:53,16.27,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-05-16 07:26:09,1.91,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-05-16 07:26:11,14.51,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-05-16 07:26:25,14.31,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-05-16 07:26:40,11.34,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-05-16 07:26:51,28.04,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-05-16 07:27:19,0.1,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-05-16 07:27:19,137.87,PASSED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-05-16 07:29:37,47.61,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-05-16 07:30:25,65.9,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-05-16 07:31:31,63.68,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-05-16 07:32:34,67.79,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-05-16 07:33:42,89.06,PASSED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-05-16 07:35:11,67.46,PASSED 



