acl	2.2.53-6
acpid	1:2.0.32-1ubuntu1
adduser	3.118ubuntu2
apparmor	2.13.3-7ubuntu5.1
apport	2.20.11-0ubuntu27.23
apt-utils	2.0.6
apt	2.0.6
asciijump	1.0.2~beta-10
at	3.1.23-1ubuntu1
base-files	11ubuntu5.5
base-passwd	3.5.47
bash-completion	1:2.10-1ubuntu1
bash	5.0-6ubuntu1.2
bcache-tools	1.0.8-3ubuntu0.1
bind9-dnsutils	1:9.16.1-0ubuntu2.10
btrfs-progs	5.4.1-2
busybox-static	1:1.30.1-4ubuntu6.4
byobu	5.133-0ubuntu1
bzip2	1.0.8-2
c8y_configuration_plugin	0.6.4
cloud-guest-utils	0.31-7-gd99b2d76-0ubuntu1
cloud-init	22.1-14-g2e17a0d6-0ubuntu1~20.04.3
cloud-initramfs-copymods	0.45ubuntu2
cloud-initramfs-dyn-netconf	0.45ubuntu2
collectd-core	5.9.2.g-1ubuntu5
collectd	5.9.2.g-1ubuntu5
command-not-found	20.04.6
console-setup	1.194ubuntu3
cpio	2.13+dfsg-2ubuntu0.3
cron	3.0pl1-136ubuntu1
cryptsetup-initramfs	2:2.2.2-3ubuntu2.4
cryptsetup	2:2.2.2-3ubuntu2.4
curl	7.68.0-1ubuntu2.11
dash	0.5.10.2-6
debconf-i18n	1.5.73
debconf	1.5.73
diffutils	1:3.7-3
dirmngr	2.2.19-3ubuntu2.1
dmidecode	3.2-3
docker.io	20.10.12-0ubuntu2~20.04.1
dosfstools	4.1-2
e2fsprogs	1.45.5-2ubuntu1
eatmydata	105-7
ed	1.16-1
efibootmgr	17-1
ethtool	1:5.4-1
findutils	4.7.0-1ubuntu1
fonts-ubuntu-console	0.83-4ubuntu1
friendly-recovery	0.2.41ubuntu0.20.04.1
ftp	0.17-34.1
fwupd	1.7.5-3~20.04.1
gcc	4:9.3.0-1ubuntu2
gdisk	1.0.5-1
git	1:2.25.1-1ubuntu3.4
gnupg2	2.2.19-3ubuntu2.1
gnupg	2.2.19-3ubuntu2.1
grep	3.4-1
grub-efi-amd64-bin	2.04-1ubuntu44.2
grub-efi-amd64-signed	1.167.2+2.04-1ubuntu44.2
grub-efi-amd64	2.04-1ubuntu44.2
grub-pc-bin	2.04-1ubuntu26.15
gzip	1.10-0ubuntu4.1
hc-utils	0.0.3-1
hdparm	9.58+ds-4
hostname	3.23
htop	2.2.0-2build1
info	6.7.0.dfsg.2-5
init	1.57
iproute2	5.5.0-1ubuntu1
iptables	1.8.4-3ubuntu2
iputils-ping	3:20190709-3
iputils-tracepath	3:20190709-3
irqbalance	1.6.0-3ubuntu1
isc-dhcp-client	4.4.1-2.1ubuntu5.20.04.2
kbd	2.0.4-4ubuntu2
kmod	27-1ubuntu2
landscape-common	19.12-0ubuntu4.3
less	551-1ubuntu0.1
libdebconfclient0	0.251ubuntu1
libmosquitto1	1.6.9-1
libpam-systemd	245.4-4ubuntu3.17
librrd-dev	1.7.2-3build2
libsodium23	1.0.18-1
linux-image-virtual	5.4.0.110.114
locales	2.31-0ubuntu9.9
logrotate	3.14.0-4ubuntu3
lsb-release	11.1.0ubuntu2
lshw	02.18.85-0.3ubuntu2.20.04.1
lsof	4.93.2+dfsg-1ubuntu0.20.04.1
ltrace	0.7.3-6.1ubuntu1
lvm2	2.03.07-1ubuntu1
lxd-agent-loader	0.4
make	4.2.1-1.2
man-db	2.9.1-1
manpages	5.05-1
mawk	1.3.4.20200120-2
mdadm	4.1-5ubuntu1.2
