id, title, cycle, startTime, duration, outcome
docker_plugin_finalize,"Validate docker plugin finalize command",1,2022-05-10 17:28:05,4.88,PASSED 
docker_plugin_install,"Validate docker plugin install",1,2022-05-10 17:28:10,5.08,PASSED 
docker_plugin_install_with_version,"Validate docker plugin install",1,2022-05-10 17:28:15,5.23,PASSED 
docker_plugin_remove,"Validate docker plugin remove",1,2022-05-10 17:28:20,5.53,PASSED 
docker_plugin_remove_with_version,"Validate docker plugin remove with version",1,2022-05-10 17:28:26,5.64,PASSED 
docker_plugin_update,"Validate docker plugin install updates existing containers",1,2022-05-10 17:28:31,10.31,PASSED 
SoftwareManagement.sm_docker_install_remove_multiple,"Validate end to end behaviour for the docker plugin for multiple docker images with mixed versions",1,2022-05-10 17:28:42,68.83,PASSED 



