id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-04-15 09:13:32,6.35,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-04-15 09:13:38,102.77,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-04-15 09:15:21,65.8,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-04-15 09:16:27,11.62,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-04-15 09:16:38,57.19,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-04-15 09:17:36,22.37,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-04-15 09:17:58,57.51,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-04-15 09:18:56,26.64,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-04-15 09:19:22,3.17,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-04-15 09:19:26,22.4,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-04-15 09:19:48,97.67,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-04-15 09:21:26,67.38,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-04-15 09:22:33,8.67,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-04-15 09:22:42,94.69,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-04-15 09:24:17,16.29,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-04-15 09:24:33,97.28,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-04-15 09:26:10,73.98,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-04-15 09:27:24,62.73,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-04-15 09:28:27,157.55,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-04-15 09:31:05,0.54,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-04-15 09:31:05,88.24,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-04-15 09:32:33,96.02,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-04-15 09:34:09,161.46,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-04-15 09:36:51,159.07,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-04-15 09:39:30,184.48,FAILED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-04-15 09:42:35,177.57,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-04-15 09:45:32,160.61,PASSED 



