id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-04-14 10:04:33,6.24,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-04-14 10:04:39,105.28,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-04-14 10:06:24,66.2,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-04-14 10:07:30,11.74,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-04-14 10:07:42,58.25,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-04-14 10:08:40,22.64,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-04-14 10:09:03,57.85,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-04-14 10:10:01,27.23,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-04-14 10:10:28,3.32,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-04-14 10:10:32,18.36,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-04-14 10:10:50,98.69,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-04-14 10:12:29,67.39,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-04-14 10:13:36,8.72,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-04-14 10:13:45,94.91,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-04-14 10:15:20,16.31,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-04-14 10:15:36,97.89,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-04-14 10:17:14,73.64,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-04-14 10:18:28,62.48,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-04-14 10:19:30,157.15,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-04-14 10:22:08,0.53,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-04-14 10:22:08,54.36,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-04-14 10:23:03,80.27,BLOCKED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-04-14 10:24:23,29.28,BLOCKED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-04-14 10:24:52,30.12,BLOCKED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-04-14 10:25:22,30.36,BLOCKED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-04-14 10:25:53,30.97,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-04-14 10:26:24,30.37,BLOCKED 



