id, title, cycle, startTime, duration, outcome
docker_plugin_finalize,"Validate docker plugin finalize command",1,2022-04-11 10:37:44,39.23,PASSED 
docker_plugin_install,"Validate docker plugin install",1,2022-04-11 10:38:23,33.68,PASSED 
docker_plugin_install_with_version,"Validate docker plugin install",1,2022-04-11 10:38:57,33.08,PASSED 
docker_plugin_remove,"Validate docker plugin remove",1,2022-04-11 10:39:30,33.84,PASSED 
docker_plugin_remove_with_version,"Validate docker plugin remove with version",1,2022-04-11 10:40:04,34.02,PASSED 
docker_plugin_update,"Validate docker plugin install updates existing containers",1,2022-04-11 10:40:38,67.29,PASSED 
SoftwareManagement.sm_docker_install_remove_multiple,"Validate end to end behaviour for the docker plugin for multiple docker images with mixed versions",1,2022-04-11 10:41:45,166.75,BLOCKED 



